Presynaptic_ID,Postsynaptic_ID,Presynaptic_Index,Postsynaptic_Index,Connectivity,Excitatory,Excitatory x Connectivity
720575940606696369,720575940610584184,3692,9455,22,1,22
720575940606696369,720575940618444473,3692,35141,20,1,20
720575940606696369,720575940613783277,3692,18478,5,1,5
720575940606696369,720575940624258857,3692,65344,2,1,2
720575940606696369,720575940620023686,3692,41504,5,1,5
720575940606696369,720575940639172585,3692,126538,1,1,1
720575940606756030,720575940622516852,3807,55498,2,-1,-2
720575940606756030,720575940628038808,3807,85900,2,-1,-2
720575940606756030,720575940614710509,3807,21291,1,-1,-1
720575940606756030,720575940627277242,3807,81468,26,-1,-26
720575940606756030,720575940645693988,3807,134541,2,-1,-2
720575940606756030,720575940636543668,3807,120535,9,-1,-9
720575940606756030,720575940618554041,3807,35604,4,-1,-4
720575940606756030,720575940612976497,3807,15923,2,-1,-2
720575940606756030,720575940622331830,3807,54462,3,-1,-3
720575940606756030,720575940623888397,3807,63126,31,-1,-31
720575940606756030,720575940621619627,3807,50303,3,-1,-3
720575940606756030,720575940626403917,3807,76326,1,-1,-1
720575940606756030,720575940621801819,3807,51422,2,-1,-2
720575940606756030,720575940626872932,3807,78877,4,-1,-4
720575940606756030,720575940611563310,3807,11645,122,-1,-122
720575940606756030,720575940623499132,3807,61120,20,-1,-20
720575940607635913,720575940631306284,4898,103357,2,-1,-2
720575940607635913,720575940613455986,4898,17428,2,-1,-2
720575940607635913,720575940626309562,4898,75832,6,-1,-6
720575940607635913,720575940633305681,4898,112021,2,-1,-2
720575940607635913,720575940616733323,4898,28259,166,-1,-166
720575940607635913,720575940629513222,4898,93981,1,-1,-1
720575940607635913,720575940625049781,4898,69626,2,-1,-2
720575940607635913,720575940626246525,4898,75529,47,-1,-47
720575940607635913,720575940625952755,4898,74067,1,-1,-1
720575940607635913,720575940627796298,4898,84472,4,-1,-4
720575940607635913,720575940632080977,4898,106885,1,-1,-1
720575940607635913,720575940612264817,4898,13536,9,-1,-9
720575940607635913,720575940605899692,4898,2455,3,-1,-3
720575940607635913,720575940636611576,4898,120706,1,-1,-1
720575940607635913,720575940631180599,4898,102668,1,-1,-1
720575940607635913,720575940637611365,4898,122896,1,-1,-1
720575940607635913,720575940624225741,4898,65148,2,-1,-2
720575940607635913,720575940624258857,4898,65344,1,-1,-1
720575940607635913,720575940625357547,4898,71057,1,-1,-1
720575940607635913,720575940626783065,4898,78311,1,-1,-1
720575940607635913,720575940619918203,4898,40992,45,-1,-45
720575940607635913,720575940606696369,4898,3692,259,-1,-259
720575940607635913,720575940635089945,4898,116843,5,-1,-5
720575940607635913,720575940624931888,4898,68913,10,-1,-10
720575940607635913,720575940622523508,4898,55547,4,-1,-4
720575940607635913,720575940628069501,4898,86059,3,-1,-3
720575940607635913,720575940619148829,4898,38032,3,-1,-3
720575940607635913,720575940613783277,4898,18478,21,-1,-21
720575940608181122,720575940631945815,5629,106213,3,-1,-3
720575940608235186,720575940626039996,5712,74562,5,-1,-5
720575940608235186,720575940613686698,5712,18198,295,-1,-295
720575940608235186,720575940623444044,5712,60791,427,-1,-427
720575940608235186,720575940625550823,5712,72015,62,-1,-62
720575940608235186,720575940631180599,5712,102668,1,-1,-1
720575940608235186,720575940621393172,5712,48970,12,-1,-12
720575940608545219,720575940638900713,6128,125852,6,-1,-6
720575940608545219,720575940628865644,6128,90648,1,-1,-1
720575940608545219,720575940606149321,6128,2860,15,-1,-15
720575940608545219,720575940621689727,6128,50739,3,-1,-3
720575940608545219,720575940617257985,6128,30179,2,-1,-2
720575940608545219,720575940614710509,6128,21291,2,-1,-2
720575940608545219,720575940629513478,6128,93983,11,-1,-11
720575940608545219,720575940627604977,6128,83388,3,-1,-3
720575940608545219,720575940621371045,6128,48838,35,-1,-35
720575940608545219,720575940618987600,6128,37365,16,-1,-16
720575940608545219,720575940618807454,6128,36647,1,-1,-1
720575940608545219,720575940604569824,6128,750,1,-1,-1
720575940608545219,720575940613065130,6128,16213,2,-1,-2
720575940608545219,720575940630006521,6128,96463,2,-1,-2
720575940608545219,720575940626246525,6128,75529,5,-1,-5
720575940608545219,720575940628082053,6128,86153,9,-1,-9
720575940608545219,720575940616736198,6128,28268,25,-1,-25
720575940608545219,720575940614614495,6128,20921,4,-1,-4
720575940608545219,720575940631842360,6128,105779,7,-1,-7
720575940608545219,720575940635684762,6128,118536,4,-1,-4
720575940608545219,720575940604088288,6128,472,54,-1,-54
720575940608545219,720575940622364854,6128,54686,15,-1,-15
720575940608545219,720575940618932763,6128,37128,1,-1,-1
720575940608545219,720575940626977947,6128,79515,83,-1,-83
720575940608545219,720575940609258850,6128,7131,305,-1,-305
720575940608545219,720575940625102224,6128,69919,14,-1,-14
720575940608545219,720575940615255603,6128,23215,5,-1,-5
720575940608545219,720575940621195290,6128,47847,51,-1,-51
720575940608545219,720575940610505006,6128,9313,165,-1,-165
720575940608545219,720575940615723314,6128,24792,20,-1,-20
720575940608545219,720575940652554657,6128,137195,3,-1,-3
720575940608545219,720575940626848275,6128,78706,4,-1,-4
720575940608545219,720575940633893401,6128,113894,8,-1,-8
720575940608545219,720575940629437054,6128,93547,13,-1,-13
720575940608545219,720575940637547365,6128,122752,6,-1,-6
720575940608545219,720575940629609457,6128,94443,11,-1,-11
720575940608545219,720575940628200551,6128,86814,217,-1,-217
720575940608545219,720575940619615552,6128,39669,4,-1,-4
720575940608545219,720575940615028143,6128,22366,1,-1,-1
720575940609137500,720575940613455986,6936,17428,3,-1,-3
720575940609137500,720575940633305681,6936,112021,408,-1,-408
720575940609137500,720575940628038808,6936,85900,1,-1,-1
720575940609137500,720575940644702112,6936,133436,1,-1,-1
720575940609137500,720575940639172585,6936,126538,5,-1,-5
720575940609137500,720575940618987600,6936,37365,1,-1,-1
720575940609137500,720575940627253604,6936,81321,3,-1,-3
720575940609137500,720575940625525740,6936,71912,1,-1,-1
720575940609137500,720575940625952755,6936,74067,46,-1,-46
720575940609137500,720575940621103239,6936,47334,1,-1,-1
720575940609137500,720575940607635913,6936,4898,2,-1,-2
720575940609137500,720575940636611576,6936,120706,14,-1,-14
720575940609137500,720575940643255693,6936,132192,5,-1,-5
720575940609137500,720575940624258857,6936,65344,4,-1,-4
720575940609137500,720575940625357547,6936,71057,5,-1,-5
720575940609137500,720575940606696369,6936,3692,2,-1,-2
720575940609137500,720575940628069501,6936,86059,442,-1,-442
720575940609258850,720575940621195290,7131,47847,1,1,1
720575940609258850,720575940618987600,7131,37365,1,1,1
720575940609258850,720575940622364854,7131,54686,2,1,2
720575940609258850,720575940610505006,7131,9313,1,1,1
720575940609258850,720575940615723314,7131,24792,2,1,2
720575940609258850,720575940650416505,7131,136795,4,1,4
720575940609258850,720575940613065130,7131,16213,3,1,3
720575940609258850,720575940608545219,7131,6128,203,1,203
720575940609258850,720575940638900713,7131,125852,99,1,99
720575940609258850,720575940626848275,7131,78706,9,1,9
720575940609258850,720575940633893401,7131,113894,132,1,132
720575940609258850,720575940629437054,7131,93547,3,1,3
720575940609258850,720575940606149321,7131,2860,3,1,3
720575940609258850,720575940630006521,7131,96463,3,1,3
720575940609258850,720575940637547365,7131,122752,1,1,1
720575940609258850,720575940629609457,7131,94443,337,1,337
720575940609258850,720575940628200551,7131,86814,1,1,1
720575940609258850,720575940626977947,7131,79515,8,1,8
720575940609258850,720575940614710509,7131,21291,7,1,7
720575940609258850,720575940629513478,7131,93983,15,1,15
720575940609258850,720575940619615552,7131,39669,15,1,15
720575940609258850,720575940628082053,7131,86153,34,1,34
720575940609258850,720575940625102224,7131,69919,9,1,9
720575940609258850,720575940640851363,7131,130107,12,1,12
720575940609258850,720575940616736198,7131,28268,48,1,48
720575940609258850,720575940627604977,7131,83388,8,1,8
720575940609258850,720575940631842360,7131,105779,2,1,2
720575940609258850,720575940621371045,7131,48838,94,1,94
720575940609258850,720575940635684762,7131,118536,5,1,5
720575940609258850,720575940604088288,7131,472,1,1,1
720575940609282825,720575940632403986,7178,108296,49,-1,-49
720575940609282825,720575940614956072,7178,22143,56,-1,-56
720575940609282825,720575940615366055,7178,23582,34,-1,-34
720575940609282825,720575940630407388,7178,98466,273,-1,-273
720575940609282825,720575940609460491,7178,7499,11,-1,-11
720575940609282825,720575940640803200,7178,130032,729,-1,-729
720575940609282825,720575940605758142,7178,2179,668,-1,-668
720575940609282825,720575940603464672,7178,202,22,-1,-22
720575940609282825,720575940619071005,7178,37714,31,-1,-31
720575940609282825,720575940634545890,7178,115447,35,-1,-35
720575940609282825,720575940624879911,7178,68599,28,-1,-28
720575940609282825,720575940621529435,7178,49729,19,-1,-19
720575940609282825,720575940637594334,7178,122856,34,-1,-34
720575940609282825,720575940622726271,7178,56643,63,-1,-63
720575940609282825,720575940633294796,7178,111976,295,-1,-295
720575940609282825,720575940623636701,7178,61846,31,-1,-31
720575940609282825,720575940629461442,7178,93663,7,-1,-7
720575940609282825,720575940635983770,7178,119328,61,-1,-61
720575940609460491,720575940632403986,7499,108296,1,1,1
720575940609460491,720575940613583001,7499,17837,35,1,35
720575940609460491,720575940630407388,7499,98466,5,1,5
720575940609460491,720575940637098352,7499,121757,4,1,4
720575940609460491,720575940640803200,7499,130032,10,1,10
720575940609460491,720575940623636957,7499,61850,24,1,24
720575940609460491,720575940640031360,7499,128444,43,1,43
720575940609460491,720575940605758142,7499,2179,12,1,12
720575940609460491,720575940637594334,7499,122856,1,1,1
720575940609460491,720575940609282825,7499,7178,4,1,4
720575940609460491,720575940614956072,7499,22143,75,1,75
720575940609460491,720575940622726271,7499,56643,1,1,1
720575940609460491,720575940615366055,7499,23582,1,1,1
720575940609460491,720575940631842360,7499,105779,4,1,4
720575940609460491,720575940633626337,7499,113066,4,1,4
720575940609460491,720575940634545890,7499,115447,1,1,1
720575940609460491,720575940633294796,7499,111976,4,1,4
720575940609460491,720575940614137809,7499,19409,5,1,5
720575940610505006,720575940626044942,9313,74593,1,1,1
720575940610505006,720575940627253604,9313,81321,7,1,7
720575940610505006,720575940608545219,9313,6128,3,1,3
720575940610505006,720575940638900713,9313,125852,5,1,5
720575940610505006,720575940633893401,9313,113894,2,1,2
720575940610505006,720575940618932763,9313,37128,1,1,1
720575940610505006,720575940629437054,9313,93547,2,1,2
720575940610505006,720575940635202204,9313,117221,4,1,4
720575940610505006,720575940606149321,9313,2860,5,1,5
720575940610505006,720575940604470240,9313,676,2,1,2
720575940610505006,720575940628200551,9313,86814,1,1,1
720575940610505006,720575940618165393,9313,33912,18,1,18
720575940610505006,720575940623781127,9313,62546,1,1,1
720575940610505006,720575940614614495,9313,20921,1,1,1
720575940610505006,720575940631842360,9313,105779,4,1,4
720575940610505006,720575940632469290,9313,108631,4,1,4
720575940610505006,720575940604088288,9313,472,7,1,7
720575940610584184,720575940626309562,9455,75832,10,-1,-10
720575940610584184,720575940616733323,9455,28259,130,-1,-130
720575940610584184,720575940640834211,9455,130068,2,-1,-2
720575940610584184,720575940621640363,9455,50424,18,-1,-18
720575940610584184,720575940618987600,9455,37365,4,-1,-4
720575940610584184,720575940625049781,9455,69626,1,-1,-1
720575940610584184,720575940626246525,9455,75529,122,-1,-122
720575940610584184,720575940623781127,9455,62546,41,-1,-41
720575940610584184,720575940614614495,9455,20921,3,-1,-3
720575940610584184,720575940618366843,9455,34813,2,-1,-2
720575940610584184,720575940635119723,9455,116937,18,-1,-18
720575940610584184,720575940627796298,9455,84472,15,-1,-15
720575940610584184,720575940632080977,9455,106885,1,-1,-1
720575940610584184,720575940612264817,9455,13536,28,-1,-28
720575940610584184,720575940605899692,9455,2455,1,-1,-1
720575940610584184,720575940637611365,9455,122896,5,-1,-5
720575940610584184,720575940644632087,9455,133341,1,-1,-1
720575940610584184,720575940625357547,9455,71057,2,-1,-2
720575940610584184,720575940626783065,9455,78311,5,-1,-5
720575940610584184,720575940633787309,9455,113568,11,-1,-11
720575940610584184,720575940606696369,9455,3692,3,-1,-3
720575940610584184,720575940623957173,9455,63536,4,-1,-4
720575940610584184,720575940618321364,9455,34640,14,-1,-14
720575940610584184,720575940623113752,9455,58832,7,-1,-7
720575940610584184,720575940619148829,9455,38032,3,-1,-3
720575940610584184,720575940618444473,9455,35141,1,-1,-1
720575940610584184,720575940613783277,9455,18478,17,-1,-17
720575940610899666,720575940635119723,10080,116937,2,-1,-2
720575940610899666,720575940632689199,10080,109569,5,-1,-5
720575940610899666,720575940636489140,10080,120390,5,-1,-5
720575940611079236,720575940623788040,10480,62586,20,1,20
720575940611079236,720575940632403986,10480,108296,6,1,6
720575940611079236,720575940616169578,10480,26371,1,1,1
720575940611079236,720575940635119723,10480,116937,11,1,11
720575940611079236,720575940623636701,10480,61846,1,1,1
720575940611079236,720575940638128474,10480,124101,24,1,24
720575940611079236,720575940611379569,10480,11164,5,1,5
720575940611079236,720575940632795532,10480,110077,5,1,5
720575940611079236,720575940635945919,10480,119222,184,1,184
720575940611079236,720575940623528925,10480,61301,1,1,1
720575940611079236,720575940618308825,10480,34586,2,1,2
720575940611079236,720575940623000858,10480,58146,3,1,3
720575940611079236,720575940636489140,10480,120390,1,1,1
720575940611079236,720575940613590501,10480,17854,194,1,194
720575940611079236,720575940618757666,10480,36451,59,1,59
720575940611079236,720575940624547622,10480,66912,33,1,33
720575940611079236,720575940634707863,10480,115866,5,1,5
720575940611079236,720575940614137809,10480,19409,10,1,10
720575940611379569,720575940632403986,11164,108296,17,1,17
720575940611379569,720575940623000858,11164,58146,25,1,25
720575940611379569,720575940624057853,11164,64139,55,1,55
720575940611379569,720575940618757666,11164,36451,34,1,34
720575940611379569,720575940623788040,11164,62586,14,1,14
720575940611379569,720575940616169578,11164,26371,10,1,10
720575940611379569,720575940648650884,11164,136417,55,1,55
720575940611379569,720575940635945919,11164,119222,58,1,58
720575940611379569,720575940618308825,11164,34586,83,1,83
720575940611379569,720575940613590501,11164,17854,27,1,27
720575940611379569,720575940628467611,11164,88453,35,1,35
720575940611379569,720575940624879911,11164,68599,9,1,9
720575940611379569,720575940630770042,11164,100454,68,1,68
720575940611379569,720575940623528925,11164,61301,15,1,15
720575940611379569,720575940623636701,11164,61846,27,1,27
720575940611379569,720575940638128474,11164,124101,9,1,9
720575940611379569,720575940632795532,11164,110077,46,1,46
720575940611379569,720575940611079236,11164,10480,13,1,13
720575940611379569,720575940637056887,11164,121664,53,1,53
720575940611563310,720575940628406538,11645,88104,12,-1,-12
720575940611563310,720575940628038808,11645,85900,14,-1,-14
720575940611563310,720575940606756030,11645,3807,38,-1,-38
720575940611563310,720575940614710509,11645,21291,1,-1,-1
720575940611563310,720575940645693988,11645,134541,4,-1,-4
720575940611563310,720575940636543668,11645,120535,18,-1,-18
720575940611563310,720575940618554041,11645,35604,1482,-1,-1482
720575940611563310,720575940628762280,11645,90031,15,-1,-15
720575940611563310,720575940612976497,11645,15923,2,-1,-2
720575940611563310,720575940622331830,11645,54462,13,-1,-13
720575940611563310,720575940623888397,11645,63126,36,-1,-36
720575940611563310,720575940621619627,11645,50303,26,-1,-26
720575940611563310,720575940626872932,11645,78877,66,-1,-66
720575940611563310,720575940623499132,11645,61120,31,-1,-31
720575940612264817,720575940613455986,13536,17428,9,-1,-9
720575940612264817,720575940626309562,13536,75832,11,-1,-11
720575940612264817,720575940616733323,13536,28259,388,-1,-388
720575940612264817,720575940640834211,13536,130068,3,-1,-3
720575940612264817,720575940621640363,13536,50424,12,-1,-12
720575940612264817,720575940634854554,13536,116223,2,-1,-2
720575940612264817,720575940618987600,13536,37365,22,-1,-22
720575940612264817,720575940625049781,13536,69626,4,-1,-4
720575940612264817,720575940626246525,13536,75529,80,-1,-80
720575940612264817,720575940623781127,13536,62546,22,-1,-22
720575940612264817,720575940614614495,13536,20921,2,-1,-2
720575940612264817,720575940610584184,13536,9455,50,-1,-50
720575940612264817,720575940618366843,13536,34813,18,-1,-18
720575940612264817,720575940635119723,13536,116937,9,-1,-9
720575940612264817,720575940627796298,13536,84472,22,-1,-22
720575940612264817,720575940607635913,13536,4898,1,-1,-1
720575940612264817,720575940632080977,13536,106885,1,-1,-1
720575940612264817,720575940605899692,13536,2455,4,-1,-4
720575940612264817,720575940626977947,13536,79515,4,-1,-4
720575940612264817,720575940637611365,13536,122896,8,-1,-8
720575940612264817,720575940644632087,13536,133341,6,-1,-6
